id	date	source	title	content	author	url	published	published_utc	collection_utc	network	location	ip2024
"grandjunctiontimes--2022-10-14--Elijah Wright ranks 1,737th in Boys’ 14 bracket in week ending Oct. 8"	2022-10-14	"grandjunctiontimes"	"Elijah Wright ranks 1,737th in Boys’ 14 bracket in week ending Oct. 8"	"Grand Junction tennis player Elijah Wright is ranked 1,737th in the junior Boys’ 14 category of the United States Tennis Association in the week ending Oct. 8.\n\nThey had 374 total points, split between 328 single points and 246 double points. USTA rankings are determined by adding 100 percent of singles points and 15 percent of doubles points plus any bonus points earned.\n\nThey were ranked 1,819th the week before.\n\nPlayers earn points per round in tournaments, winning higher points the further into a tournament they advance.\n\nJarett Cascino of New York Tennis Magazine says tennis is one of the most competitive youth sports.\n\n“There is always someone better than you on any given day, even if you are the number one player in the world!” he said."	"Grand Junction Times"	"https://grandjunctiontimes.com/stories/633284300-elijah-wright-ranks-1-737th-in-boys-14-bracket-in-week-ending-oct-8"	"Fri, 14 Oct 2022 08:10:56 -0500"	1665749456	1665833301	"Metric Media"	"Colorado"	"IP_Address_24"
"easthoustonnews--2022-06-18--Baytown tennis player Crystal Smith ranks in Girls’ 18 singles bracket in week ending June 3"	2022-06-18	"easthoustonnews"	"Baytown tennis player Crystal Smith ranks in Girls’ 18 singles bracket in week ending June 3"	"Baytown tennis player Crystal Smith won 30 points playing singles tournaments in the junior Girls’ 18 category of the United States Tennis Association by the week ending June 3.\n\nTheir 30 points playing singles are combined with 15 percent of their doubles points and any bonus points for a 20,158th ranking.\n\nThey were ranked 15,341st the week before.\n\nPlayers earn points per round in tournaments, winning higher points the further into a tournament they advance.\n\nJarett Cascino of New York Tennis Magazine says tennis is one of the most competitive youth sports.\n\n“There is always someone better than you on any given day, even if you are the number one player in the world!” “he said.”"	"East Houston News"	"https://easthoustonnews.com/stories/627291637-baytown-tennis-player-crystal-smith-ranks-in-girls-18-singles-bracket-in-week-ending-june-3"	"Sat, 18 Jun 2022 05:10:42 -0500"	1655543442	1655594458	"Metric Media"	"Texas"	"IP_Address_24"
"stjoebentonharbor--2021-07-22--Jennifer Kolosar earns $66,231 during 2020 working at Bangor Public Schools"	2021-07-22	"stjoebentonharbor"	"Jennifer Kolosar earns $66,231 during 2020 working at Bangor Public Schools"	"Jennifer Kolosar with Bangor Public Schools ranks in the 68th percentile in pay as a public Michigan employee by earning $66,231 in 2020, according to the Michigan Government Salaries Database\n\nThe top paid public employee in Michigan - Curtis Ivery - earned $525,997 at Wayne County Community College.\n\nThe data was gathered by the Mackinac Center for Public Policy, a nonprofit research and educational institute."	"St. Joe-Benton Harbor News"	"https://stjoebentonharbor.com/stories/604968003-jennifer-kolosar-earns-66-231-during-2020-working-at-bangor-public-schools"	"Thu, 22 Jul 2021 04:23:54 -0500"	1626942234	1627009276	"Metric Media"	"Michigan"	"IP_Address_17"
"treasurecoastsun--2021-06-16--Jonathan Schofield donates $50 to Brian Mast's campaign committee in Q4 2020"	2021-06-16	"treasurecoastsun"	"Jonathan Schofield donates $50 to Brian Mast's campaign committee in Q4 2020"	"Jonathan Schofield donated $50 to Brian Mast during the fourth quarter of 2020, according to the Federal Election Commission (FEC)\n\nDonations can be made to political candidates in various amounts. The FEC regulates these donations; individual groups, excluding PACs, must disclose donations over $250 per year.\n\nThe following table lists the top 100 contributions donated to Brian Mast's campaign in 2020.\n\nTop 100 contributions to Brian Mast's campaign in 2020"	"Treasure Coast Sun"	"https://treasurecoastsun.com/stories/597438612-jonathan-schofield-donates-50-to-brian-mast-s-campaign-committee-in-q4-2020"	"Wed, 16 Jun 2021 04:38:42 -0500"	1623832722	1623887118	"Metric Media"	"Florida"	"IP_Address_24"
"wibusinessdaily--2021-11-07--Barbara Arnold donates $250 to Mark Pocan's campaign committee in Q2"	2021-11-07	"wibusinessdaily"	"Barbara Arnold donates $250 to Mark Pocan's campaign committee in Q2"	"Barbara Arnold donated $250 to Mark Pocan during the second quarter of 2021, according to the Federal Election Commission (FEC)\n\nDonations can be made to political candidates in various amounts. The FEC regulates these donations; individual groups, excluding PACs, must disclose donations over $250 per year.\n\nThe following table lists the top 100 contributions donated to Mark Pocan's campaign in 2021.\n\nTop 100 contributions to Mark Pocan's campaign in 2021"	"Wisconsin Business Daily"	"https://wibusinessdaily.com/stories/610479189-barbara-arnold-donates-250-to-mark-pocan-s-campaign-committee-in-q2"	"Sun, 07 Nov 2021 12:03:54 -0600"	1636304634	1636380144	"Metro Business Network (Franklin Archer)"	"Wisconsin"	"IP_Address_27"
"southbrazorianews--2021-10-07--Griffith Elementary School: 25 African American students enrolled during 2018-19 school year"	2021-10-07	"southbrazorianews"	"Griffith Elementary School: 25 African American students enrolled during 2018-19 school year"	"Griffith Elementary School had 25 African American students enrolled during the 2018-19 school year, according to the Texas Education Agency\n\nThe African American student population made up 4.6 percent of the total school makeup.\n\nThe Texas Education Agency oversees primary and secondary public education. Its stated mission is to improve outcomes for all public school students in the state by providing leadership, guidance, and support to school systems.\n\nThe 100 Texas schools with the most African American students"	"South Brazoria News"	"https://southbrazorianews.com/stories/607191440-griffith-elementary-school-25-african-american-students-enrolled-during-2018-19-school-year"	"Thu, 07 Oct 2021 14:00:32 -0500"	1633629632	1633698948	"Metric Media"	"Texas"	"IP_Address_17"
"stlouisreporter--2022-05-14--Positive % change for Perficient Inc. (PRFT:NSQ) in St. Louis in last year"	2022-05-14	"stlouisreporter"	"Positive % change for Perficient Inc. (PRFT:NSQ) in St. Louis in last year"	"On May 13, shares in the Perficient Inc. company were selling at $101.39. One year before, these shares were trading at $69.76.\n\nPerficient Inc. employs 6,080 people and has reported $65,630,000 USD in income.\n\nIn the fluctuating stock market, healthcare and technology stocks are viewed as the safest bets for long-term gains.\n\nBesty Kuekcer with Benzinga.com said healthcare-related stocks, such as hospital conglomerates and insurance companies, have weathered numerous economic crises and still make a profit, meaning they’re a stable investment.\n\nWhile technology stocks can be more risky, given the boom-bust nature of new tech companies, Kuecker recommended a diverse portfolio of tech companies to strike it big when companies succeed or sell to other larger companies.\n\nFor short-term investments, Kuecker recommended “consumer discretionary” stocks, which are sensitive to economic changes but can rise greatly on the back of a strong economy.\n\nNothing in this article is to be assumed as financial advice."	"St. Louis Reporter"	"https://stlouisreporter.com/stories/625816877-positive-change-for-perficient-inc-prft-nsq-in-st-louis-in-last-year"	"Sat, 14 May 2022 07:34:51 -0500"	1652528091	1652618324	"Metric Media"	"Missouri"	"IP_Address_17"
"westpennyroyalnews--2022-07-17--Tompkinsville enforcement officers handle one sodomy in 2020"	2022-07-17	"westpennyroyalnews"	"Tompkinsville enforcement officers handle one sodomy in 2020"	"Tompkinsville law enforcement officers grappled with one sodomy in 2020, according to the National Incident-Based Reporting System (NIBRS)\n\nOf all types of crime tracked by the NIBRS, sodomy was the 10th most popular crime handled by the Tompkinsville office.\n\nOfficers in Tompkinsville were involved in 63 incidents throughout the year.\n\nThe NIBRS was designed to provide detail and context around crime stats. Under the previous system, only the most serious crime related to an incident would be logged. If an incident involved a homicide as well as aggravated assault and theft, only a homicide would be recorded in criminal statistics.\n\nIt is used by law enforcement at all levels, from local to federal.\n\n100 locations with highest amount of sodomy offenses across US in 2020"	"West Pennyroyal News"	"https://westpennyroyalnews.com/stories/619488891-tompkinsville-enforcement-officers-handle-one-sodomy-in-2020"	"Sun, 17 Jul 2022 03:04:55 -0500"	1658041495	1658105661	"Metric Media"	"Kentucky"	"IP_Address_24"
"eastoregonnews--2021-07-01--Chris Moudry donates $500 to Cliff Bentz's campaign committee in Q3 2020"	2021-07-01	"eastoregonnews"	"Chris Moudry donates $500 to Cliff Bentz's campaign committee in Q3 2020"	"Chris Moudry donated $500 to Cliff Bentz during the third quarter of 2020, according to the Federal Election Commission (FEC)\n\nDonations can be made to political candidates in various amounts. The FEC regulates these donations; individual groups, excluding PACs, must disclose donations over $250 per year.\n\nThe following table lists the top 100 contributions donated to Cliff Bentz's campaign in 2020.\n\nTop 100 contributions to Cliff Bentz's campaign in 2020"	"East Oregon News"	"https://eastoregonnews.com/stories/590710232-chris-moudry-donates-500-to-cliff-bentz-s-campaign-committee-in-q3-2020"	"Thu, 01 Jul 2021 03:41:47 -0500"	1625125307	1625225001	"Metric Media"	"Oregon"	"IP_Address_17"
"eastventuranews--2022-04-24--How high did Calabasas junior tennis player Griffin Feinbloom rank in Boys’ 14 bracket in week endin"	2022-04-24	"eastventuranews"	"How high did Calabasas junior tennis player Griffin Feinbloom rank in Boys’ 14 bracket in week ending April 9?"	"Calabasas tennis player Griffin Feinbloom is ranked 3,803rd in the junior Boys’ 14 category of the United States Tennis Association in the week ending April 9.\n\nThey had 138 total points, split between 138 single points and any double points. USTA rankings are determined by adding 100 percent of singles points and 15 percent of doubles points plus any bonus points earned.\n\nThey were ranked 4,226th the week before.\n\nPlayers earn points per round in tournaments, winning higher points the further into a tournament they advance.\n\nJarett Cascino of New York Tennis Magazine says tennis is one of the most competitive youth sports.\n\n“There is always someone better than you on any given day, even if you are the number one player in the world!” he said."	"East Ventura News"	"https://eastventuranews.com/stories/623410961-how-high-did-calabasas-junior-tennis-player-griffin-feinbloom-rank-in-boys-14-bracket-in-week-ending-april-9"	"Sun, 24 Apr 2022 08:17:25 -0500"	1650802645	1650842623	"Metric Media"	"California"	"IP_Address_17"
